animal_ID,experiment_date,acclimate_start,experiment_start,sex,dead,treatment_odor,Experiment_Acclimate,starve_date,starve_time,background,mean_speed_mm,%_time_L_half,%_time_R_half,PI_(L-R)
171218-01-bottom,171218,11:01:00 AM,11:16:00 AM,m,False,filtered_food_odor_100uL,E,171217,11:15:00 AM,gr3_gcamp,1.9717015811,0.7919911012,0.2080088988,0.5839822024
171218-02-top,171218,11:37:00 AM,11:52:00 AM,m,False,filtered_food_odor_100uL,E,171217,11:15:00 AM,gr3_gcamp,2.1260955631,0.6243739566,0.3756260434,0.2487479132
171218-02-bottom,171218,11:37:00 AM,11:52:00 AM,f,False,filtered_food_odor_100uL,E,171217,11:15:00 AM,gr3_gcamp,3.2341807843,0.7808676307,0.2191323693,0.5617352614
171218-03-top,171218,12:52:00 PM,01:07:00 PM,f,False,filtered_food_odor_100uL,E,171217,11:15:00 AM,gr3_gcamp,2.2351115933,0.9237618253,0.0762381747,0.8475236505
171218-03-bottom,171218,12:52:00 PM,01:07:00 PM,,True,filtered_food_odor_100uL,E,171217,11:15:00 AM,gr3_gcamp,2.2042226257,0.8204558088,0.1795441912,0.6409116176
171218-04-top,171218,01:25:00 PM,01:40:00 PM,f,False,filtered_food_odor_100uL,E,171217,11:15:00 AM,gr3_gcamp,1.6717781309,0.6994991653,0.3005008347,0.3989983306
171218-04-bottom,171218,01:25:00 PM,01:40:00 PM,m,False,filtered_food_odor_100uL,E,171217,11:15:00 AM,gr3_gcamp,2.8565366511,0.734705228,0.265294772,0.4694104561
171218-05-top,171218,02:17:00 PM,02:32:00 PM,,True,filtered_food_odor_100uL,E,171217,11:15:00 AM,gr3_gcamp,2.128476242,0.5553700612,0.4446299388,0.1107401224
171218-05-bottom,171218,02:17:00 PM,02:32:00 PM,m,False,filtered_food_odor_100uL,E,171217,11:15:00 AM,gr3_gcamp,2.0226682411,0.8375973304,0.1624026696,0.6751946607
171218-06-top,171218,02:52:00 PM,03:07:00 PM,m,False,filtered_food_odor_100uL,E,171217,11:15:00 AM,gr3_gcamp,2.2278189001,0.6362625139,0.3637374861,0.2725250278
171218-06-bottom,171218,02:52:00 PM,03:07:00 PM,f,False,filtered_food_odor_100uL,E,171217,11:15:00 AM,gr3_gcamp,2.0933380854,0.6273637375,0.3726362625,0.254727475
171218-07-top,171218,03:27:00 PM,03:42:00 PM,m,False,filtered_food_odor_100uL,E,171217,11:15:00 AM,gr3_gcamp,2.0483519738,0.6362625139,0.3637374861,0.2725250278
171218-07-bottom,171218,03:27:00 PM,03:42:00 PM,m,False,filtered_food_odor_100uL,E,171217,11:15:00 AM,gr3_gcamp,1.7002523044,0.80756396,0.19243604,0.6151279199
171218-08-top,171218,04:03:00 PM,04:18:00 PM,m,False,filtered_food_odor_100uL,E,171217,11:15:00 AM,gr3_gcamp,2.1359691545,0.9016120067,0.097832129,0.8037798777
171218-08-bottom,171218,04:03:00 PM,04:18:00 PM,,True,filtered_food_odor_100uL,E,171217,11:15:00 AM,gr3_gcamp,3.16826582,0.6259032796,0.3740967204,0.2518065592
171218-09-top,171218,04:37:00 PM,04:52:00 PM,m,False,filtered_food_odor_100uL,E,171217,11:15:00 AM,gr3_gcamp,3.8797105781,0.4443826474,0.5556173526,-0.1112347052
171218-09-bottom,171218,04:37:00 PM,04:52:00 PM,f,False,filtered_food_odor_100uL,E,171217,11:15:00 AM,gr3_gcamp,4.7355096663,0.5522803115,0.4477196885,0.1045606229
171218-10-top,171218,05:11:00 PM,05:26:00 PM,,True,filtered_food_odor_100uL,E,171217,11:15:00 AM,gr3_gcamp,1.4722558506,0.5834260289,0.4165739711,0.1668520578
171218-10-bottom,171218,05:11:00 PM,05:26:00 PM,m,False,filtered_food_odor_100uL,E,171217,11:15:00 AM,gr3_gcamp,2.8690576317,0.712458287,0.287541713,0.424916574
180112-01-top,180112,10:30:00 AM,10:45:00 AM,f,False,milliQ_water_100uL,E,180111,10:30:00 AM,wt,1.9440557607,0.372080089,0.627919911,-0.255839822
180112-01-bottom,180112,10:30:00 AM,10:45:00 AM,m,False,milliQ_water_100uL,E,180111,10:30:00 AM,wt,7.4119138337,0.4794215795,0.5205784205,-0.0411568409
180112-02-top,180112,11:07:00 AM,11:22:00 AM,m,False,milliQ_water_100uL,E,180111,10:30:00 AM,wt,1.5093102546,0.3229571984,0.6770428016,-0.3540856031
180112-02-bottom,180112,11:07:00 AM,11:22:00 AM,m,False,milliQ_water_100uL,E,180111,10:30:00 AM,wt,3.8656196183,0.4733036707,0.5266963293,-0.0533926585
180112-03-top,180112,11:43:00 AM,11:58:00 AM,f,False,milliQ_water_100uL,E,180111,10:30:00 AM,wt,9.1550574883,0.532814238,0.467185762,0.0656284761
180112-03-bottom,180112,11:43:00 AM,11:58:00 AM,f,False,milliQ_water_100uL,E,180111,10:30:00 AM,wt,3.7694555297,0.573971079,0.426028921,0.147942158
180112-04-top,180112,01:01:00 PM,01:16:00 PM,f,False,milliQ_water_100uL,E,180111,10:30:00 AM,wt,6.0606988379,0.4677419355,0.5322580645,-0.064516129
180112-04-bottom,180112,01:01:00 PM,01:16:00 PM,m,False,milliQ_water_100uL,E,180111,10:30:00 AM,wt,2.9220349442,0.4947192885,0.5052807115,-0.010561423
180112-05-top,180112,01:41:00 PM,01:56:00 PM,m,False,milliQ_water_100uL,E,180111,10:30:00 AM,wt,0.8717291196,0.1528627015,0.8471372985,-0.694274597
